"A编号","最小标签","图片文件名","提示词文件名"
"A127","上衣+短裤","A127-上衣+短裤.png","A127-上衣+短裤.txt"
"A177","上衣+长裤","A177-上衣+长裤.png","A177-上衣+长裤.txt"
"A110","衬衫+下装","A110-衬衫+下装.png","A110-衬衫+下装.txt"
"A188","上衣+长裤","A188-上衣+长裤.png","A188-上衣+长裤.txt"
"A164","上衣+长裤","A164-上衣+长裤.png","A164-上衣+长裤.txt"
"A049","上衣+短裤","A049-上衣+短裤.png","A049-上衣+短裤.txt"
"A137","时装穿搭","A137-时装穿搭.png","A137-时装穿搭.txt"
"A085","衬衫+下装","A085-衬衫+下装.png","A085-衬衫+下装.txt"
"A086","上衣+短裤","A086-上衣+短裤.png","A086-上衣+短裤.txt"
"A078","上衣+短裤","A078-上衣+短裤.png","A078-上衣+短裤.txt"
"A068","上衣+短裙","A068-上衣+短裙.png","A068-上衣+短裙.txt"
"A079","衬衫+下装","A079-衬衫+下装.png","A079-衬衫+下装.txt"
"A169","上衣+短裤","A169-上衣+短裤.png","A169-上衣+短裤.txt"
"A123","衬衫+下装","A123-衬衫+下装.png","A123-衬衫+下装.txt"
"A036","上衣+短裤","A036-上衣+短裤.png","A036-上衣+短裤.txt"
"A161","上衣+长裤","A161-上衣+长裤.png","A161-上衣+长裤.txt"
"A020","连体短裤","A020-连体短裤.png","A020-连体短裤.txt"
"A053","上衣+长裤","A053-上衣+长裤.png","A053-上衣+长裤.txt"
"A042","上衣+短裤","A042-上衣+短裤.png","A042-上衣+短裤.txt"
"A030","上衣+长裤","A030-上衣+长裤.png","A030-上衣+长裤.txt"
"A072","上衣+短裤","A072-上衣+短裤.png","A072-上衣+短裤.txt"
"A063","时装穿搭","A063-时装穿搭.png","A063-时装穿搭.txt"
"A051","上衣+短裤","A051-上衣+短裤.png","A051-上衣+短裤.txt"
"A167","衬衫+短裤","A167-衬衫+短裤.png","A167-衬衫+短裤.txt"
"A016","时装穿搭","A016-时装穿搭.png","A016-时装穿搭.txt"
"A135","连体短裤","A135-连体短裤.png","A135-连体短裤.txt"
"A196","时装穿搭","A196-时装穿搭.png","A196-时装穿搭.txt"
"A163","上衣+长裤","A163-上衣+长裤.png","A163-上衣+长裤.txt"
"A087","上衣+长裤","A087-上衣+长裤.png","A087-上衣+长裤.txt"
"A144","上衣+短裤","A144-上衣+短裤.png","A144-上衣+短裤.txt"
"A026","上衣+短裤","A026-上衣+短裤.png","A026-上衣+短裤.txt"
"A015","上衣+短裙","A015-上衣+短裙.png","A015-上衣+短裙.txt"
"A037","上衣+短裤","A037-上衣+短裤.png","A037-上衣+短裤.txt"
"A148","上衣+短裤","A148-上衣+短裤.png","A148-上衣+短裤.txt"
"A201","时装穿搭","A201-时装穿搭.png","A201-时装穿搭.txt"
"A153","时装穿搭","A153-时装穿搭.png","A153-时装穿搭.txt"
"A024","上衣+短裤","A024-上衣+短裤.png","A024-上衣+短裤.txt"
"A191","上衣+短裤","A191-上衣+短裤.png","A191-上衣+短裤.txt"
"A112","上衣+短裤","A112-上衣+短裤.png","A112-上衣+短裤.txt"
"A165","时装穿搭","A165-时装穿搭.png","A165-时装穿搭.txt"
"A133","上衣+短裤","A133-上衣+短裤.png","A133-上衣+短裤.txt"
"A011","上衣+短裤","A011-上衣+短裤.png","A011-上衣+短裤.txt"
"A004","上衣+长裤","A004-上衣+长裤.png","A004-上衣+长裤.txt"
"A151","衬衫+短裤","A151-衬衫+短裤.png","A151-衬衫+短裤.txt"
"A029","上衣+短裤","A029-上衣+短裤.png","A029-上衣+短裤.txt"
"A145","衬衫+短裤","A145-衬衫+短裤.png","A145-衬衫+短裤.txt"
"A160","时装穿搭","A160-时装穿搭.png","A160-时装穿搭.txt"
"A096","上衣+长裙","A096-上衣+长裙.png","A096-上衣+长裙.txt"
"A185","上衣+长裤","A185-上衣+长裤.png","A185-上衣+长裤.txt"
"A098","上衣+短裤","A098-上衣+短裤.png","A098-上衣+短裤.txt"
"A104","时装穿搭","A104-时装穿搭.png","A104-时装穿搭.txt"
"A107","衬衫+短裤","A107-衬衫+短裤.png","A107-衬衫+短裤.txt"
"A045","上衣+长裤","A045-上衣+长裤.png","A045-上衣+长裤.txt"
"A061","上衣+短裤","A061-上衣+短裤.png","A061-上衣+短裤.txt"
"A132","连体短裤","A132-连体短裤.png","A132-连体短裤.txt"
"A065","时装穿搭","A065-时装穿搭.png","A065-时装穿搭.txt"
"A012","上衣+长裤","A012-上衣+长裤.png","A012-上衣+长裤.txt"
"A178","上衣+短裤","A178-上衣+短裤.png","A178-上衣+短裤.txt"
"A155","时装穿搭","A155-时装穿搭.png","A155-时装穿搭.txt"
"A006","衬衫+下装","A006-衬衫+下装.png","A006-衬衫+下装.txt"
"A035","上衣+短裤","A035-上衣+短裤.png","A035-上衣+短裤.txt"
